"","date"
"1",2020-02-08
"2",2020-02-15
"3",2020-02-22
"4",2020-02-29
"5",2020-03-07
"6",2020-03-14
"7",2020-03-21
"8",2020-03-28
"9",2020-04-04
"10",2020-04-11
"11",2020-04-18
"12",2020-04-25
"13",2020-05-02
"14",2020-05-09
"15",2020-05-16
"16",2020-05-23
"17",2020-05-30
"18",2020-06-06
"19",2020-06-13
"20",2020-06-20
"21",2020-06-27
"22",2020-07-04
"23",2020-07-11
"24",2020-07-18
"25",2020-07-25
"26",2020-08-01
"27",2020-08-08
"28",2020-08-15
"29",2020-08-22
"30",2020-08-29
"31",2020-09-05
"32",2020-09-12
"33",2020-09-19
"34",2020-09-26
"35",2020-10-03
"36",2020-10-10
"37",2020-10-17
"38",2020-10-24
"39",2020-10-31
"40",2020-11-07
"41",2020-11-14
"42",2020-11-21
"43",2020-11-28
"44",2020-12-05
"45",2020-12-12
"46",2020-12-19
"47",2020-12-26
"48",2021-01-02
"49",2021-01-09
"50",2021-01-16
"51",2021-01-23
"52",2021-01-30
"53",2021-02-06
"54",2021-02-13
"55",2021-02-20
"56",2021-02-27
"57",2021-03-06
"58",2021-03-13
"59",2021-03-20
"60",2021-03-27
"61",2021-04-03
"62",2021-04-10
"63",2021-04-17
"64",2021-04-24
"65",2021-05-01
"66",2021-05-08
"67",2021-05-15
"68",2021-05-22
"69",2021-05-29
"70",2021-06-05
"71",2021-06-12
"72",2021-06-19
"73",2021-06-26
"74",2021-07-03
"75",2021-07-10
"76",2021-07-17
"77",2021-07-31
"78",2021-08-07
